Ticket ID,Vehicle ID/Chasis No,Battery ID,Issue,Resolved Type,Location,Technician Name,Created Time
11,,ZEAA1119,Display Freeze/off,Repair,Kolkata,RITESH JAISWAL,12/12/2024 7:00pm
15,,ZEAA1096,Display Freeze/off,Replace,Chennai,Prasanna V ,12/13/2024 3:29pm
25,,ZEAA1652,Display Freeze/off,Replace,Mumbai,Shubham,12/14/2024 4:45pm
105,,ZEN-E1541,Display Freeze/off,Replace,Bengaluru,Alex,12/21/2024 4:57pm
136,,ZEAA1713,Display Freeze/off,Repair,Mumbai,Ashpak ,12/25/2024 12:17pm
140,,ZEAA0646,Display Freeze/off,Repair,Mumbai,Ashpak,12/25/2024 12:22pm
141,,ZEAA0646,Display Freeze/off,Repair,Mumbai,Ashpak ,12/25/2024 12:24pm
142,,ZEAA1724,Display Freeze/off,Repair,Mumbai,Ashpak ,12/25/2024 12:25pm
143,,ZEAA1762,Display Freeze/off,Repair,Mumbai,Ashpak ,12/25/2024 12:26pm
144,,ZEAA1787,Display Freeze/off,Repair,Mumbai,Ashpak,12/25/2024 12:27pm
145,,ZEAA1519,Display Freeze/off,Repair,Mumbai,Ashpak ,12/25/2024 12:28pm
187,,ZEAA0486,Display Freeze/off,Replace,Mumbai,omkar,12/30/2024 8:24pm
219,,ZEN-E2026,Display Freeze/off,Replace,Delhi,SAURAV SINGH,1/4/2025 1:02pm
220,,ZEN-E0681,Display Freeze/off,Replace,Mumbai,Omkar,1/4/2025 2:18pm
226,,ZEAA0276,Display Freeze/off,Replace,Mumbai,Omkar ,1/5/2025 12:34pm
232,,ZEAA0651,Display Freeze/off,Replace,Chennai,Prasanna V ,1/6/2025 4:20pm
236,,ZEAA1533,Display Freeze/off,Repair,Mumbai,Onkar,1/6/2025 7:27pm
237,,ZEN-E1061,Display Freeze/off,Repair,Mumbai,Omkar,1/6/2025 7:28pm
238,,ZEAA1533,Display Freeze/off,Repair,Mumbai,Omkar ,1/6/2025 7:29pm
254,,ZEN-E1061,Display Freeze/off,Replace,Mumbai,Omkar ,1/8/2025 7:26pm
265,,ZEAA1043,Display Freeze/off,Replace,Chennai,Prasanna V ,1/10/2025 9:38pm
278,,ZEN-E1758,Display Freeze/off,Replace,Bengaluru,Jayachandran.j,1/13/2025 3:00pm
279,,ZEAA1486,Display Freeze/off,Replace,Mumbai,Omkar ,1/13/2025 3:39pm
282,,ZEAA0885,Display Freeze/off,Replace,Mumbai,Omkar ,1/14/2025 2:38pm
293,,ZEAA0782,Display Freeze/off,Replace,Bengaluru,Alex,1/15/2025 6:12pm
319,,ZEAA0265,Display Freeze/off,Replace,Mumbai,Omkar ,1/19/2025 9:57am
320,,ZEAA1021,Display Freeze/off,Replace,Mumbai,Omkar ,1/19/2025 9:58am
323,,ZEAA1244,Display Freeze/off,Replace,Delhi,Saurav Singh,1/19/2025 11:10pm
329,,ZEN-E1667,Display Freeze/off,Replace,Mumbai,Omkar ,1/20/2025 5:54pm
330,,ZEAA0682,Display Freeze/off,Replace,Mumbai,Omkar ,1/20/2025 5:55pm
331,,ZEAA0460,Display Freeze/off,Replace,Mumbai,Omkar ,1/20/2025 7:24pm
340,,ZEN-E1925,Display Freeze/off,Replace,Delhi,Saurav Singh,1/21/2025 6:52pm
392,,ZEN-E1220,Display Freeze/off,Replace,Bengaluru,Alex,1/31/2025 5:32pm
407,,ZEAA0485,Display Freeze/off,Repair,Mumbai,Omkar ,2/3/2025 1:13pm
415,,ZEAA1935,Display Freeze/off,Replace,Pune,Ashpak,2/4/2025 12:29pm
433,,ZEAA0211,Display Freeze/off,Replace,Chennai,Prasanna V,2/5/2025 10:59pm
441,,ZEAA2290,Display Freeze/off,Replace,Bengaluru,Alex,2/6/2025 4:55pm
448,,ZEAA1240,Display Freeze/off,Replace,Chennai,Prasanna V ,2/8/2025 1:42pm
451,,ZEAA1968,Display Freeze/off,Replace,Chennai,PRASANNA V,2/8/2025 9:39pm
457,,ZEAA1823,Display Freeze/off,Replace,Delhi,Omkar ,2/10/2025 6:50pm
498,,ZEN-E1915,Display Freeze/off,Replace,Mumbai,Omkar ,2/18/2025 12:31pm
506,,ZEAA1428,Display Freeze/off,Replace,Chennai,Prasanna V ,2/18/2025 9:15pm
513,,ZEAA1507,Display Freeze/off,Repair,Chennai,Prasanna V ,2/20/2025 6:41pm
519,,ZEAA1515,Display Freeze/off,Repair,Chennai,prasanna V,2/21/2025 3:56pm
520,,ZEAA1790,Display Freeze/off,Repair,Chennai,prasanna V,2/21/2025 4:02pm
523,,ZEAA0704,Display Freeze/off,Repair,Chennai,prasanna V,2/21/2025 5:32pm
525,,ZEAA2428,Display Freeze/off,Replace,Chennai,Prasanna V ,2/21/2025 7:31pm
541,,ZEAA0028,Display Freeze/off,Replace,Delhi,Anand,2/22/2025 8:06pm
543,,ZEAA0700,Display Freeze/off,Replace,Delhi,Saurav,2/23/2025 2:01pm
545,,ZEAA0971,Display Freeze/off,Replace,Mumbai,Omkar ,2/23/2025 8:28pm
549,,ZEAA0033,Display Freeze/off,Replace,Bengaluru,Alex,2/24/2025 2:12pm
551,,ZEAA2215,Display Freeze/off,Replace,Delhi,Anand Kumar yadav ,2/24/2025 4:35pm
552,,ZEAA0572,Display Freeze/off,Replace,Delhi,Anand ,2/24/2025 5:35pm
560,,ZEAA0831,Display Freeze/off,Repair,Pune,Ashpak,2/27/2025 12:07pm
561,,ZEAA0514,Display Freeze/off,Replace,Bengaluru,Alex,2/27/2025 12:09pm
595,,ZEAA0445,Display Freeze/off,Replace,Bengaluru,Alex,3/3/2025 4:32pm
602,,ZEAA0630,Display Freeze/off,Replace,Mumbai,Omkar ,3/4/2025 12:16pm
636,,ZEAA0854,Display Freeze/off,Replace,Delhi,Anand ,3/5/2025 6:49pm
670,,ZEAA1425,Display Freeze/off,Repair,Mumbai,Omkar ,3/9/2025 5:19pm
671,,ZEAA1659,Display Freeze/off,Repair,Mumbai,Omkar ,3/9/2025 5:58pm
680,,ZEAA2540,Display Freeze/off,Replace,Bengaluru,Alex,3/10/2025 4:09pm
683,,ZEAA0724,Display Freeze/off,Repair,Mumbai,Omkar ,3/11/2025 1:15pm
684,,ZEAA0907,Display Freeze/off,Repair,Mumbai,Omkar ,3/11/2025 1:26pm
