Ticket ID,Vehicle ID/Chasis No,Battery ID,Issue,Resolved Type,Location,Technician Name,Created Time
7180,MH46CT4285,ZENE6371,Other,,Mumbai,,"3/25/2026, 11:12:41 AM"
7181,MH47CT4207,ZENE4299,Other,,Mumbai,,"3/25/2026, 11:14:06 AM"
7182,MHO2GK3019,ZENE0735,Display not working,,Mumbai,,"3/25/2026, 11:38:14 AM"
7183,MH02GK0484,ZENE1205,Battery Not Charging,,Mumbai,,"3/25/2026, 11:39:25 AM"
7184,XERO,ZENE6726,Chagori Melt,,Delhi,,"3/25/2026, 12:44:02 PM"
7185,XERO,ZENE6239,Chagori Melt,,Delhi,,"3/25/2026, 12:44:52 PM"
7186,XERO,ZENE0763,Chagori Melt,,Delhi,,"3/25/2026, 12:45:52 PM"
7187,DL4SDY2731,ZENE3665,Display not working,Replace,Delhi,Harsh,"3/25/2026, 1:24:54 PM"
7188,KA04KS4197,ZENE2964,Battery Not Charging,Replace,Delhi,Harsh,"3/25/2026, 1:26:32 PM"
7189,DL8EV4244,ZENE3141,Battery Not Charging,,Delhi,Harsh,"3/25/2026, 2:27:23 PM"
7190,124564,ZENE1354,Other,,Dharmapuri,,"3/25/2026, 3:25:13 PM"
7191,KA03KW7025,ZENE4741,Battery Not Charging,Replace,Delhi,Harsh,"3/25/2026, 4:48:25 PM"
7192,KAP3KW6795,ZENE0000,Battery Not Charging,Replace,Delhi,Harsh,"3/25/2026, 4:53:27 PM"
7193,DL4SDY 3622,ZENE4174,Service required,Replace,Delhi,Anand ,"3/25/2026, 5:45 PM"
7194,XERO,ZENE7335,Chagori Melt,,Delhi,,"3/25/2026, 5:49:35 PM"
7195,HR51CT4174,ZENE5288,Chagori Melt,,Delhi,Harsh,"3/25/2026, 6:54:29 PM"
7196,HR51CT8318,ZENE3509,Battery Not Charging,,Delhi,,"3/25/2026, 7:02:21 PM"
7197,HR87U4459,ZENE4774,Battery Not Charging,,Delhi,,"3/25/2026, 7:05:04 PM"
7198,DL4GD9303,ZENE4325,Service required,Replace,Delhi,deepak,"3/26/2026, 10:45 AM"
7199,DL4SDY2902,ZENE3618,Chagori Melt,Replace,Delhi,Harsh,"3/26/2026, 11:54:45 AM"
7200,KA03KW7025,ZENE2135,Chagori Melt,Replace,Delhi,Harsh,"3/26/2026, 11:58:21 AM"
7201,KA50EN3755,ZENE4895,Battery Not Charging,Replace,Delhi,Harsh,"3/26/2026, 12:06:09 PM"
7202,DL4GD9089,ZENE6044,Service required,,Delhi,,"3/26/2026, 12:33 PM"
7203,M2TLN1E11S2K10761,ZENE9639,Battery Not Charging,,Delhi,,"3/26/2026, 2:58:14 PM"
7204,KA50EN3639,ZENE6689,Oil Leakage,,Delhi,,"3/26/2026, 5:04:49 PM"
7205,MH04MX0581,ZENE7631,Other,,Mumbai,,"3/26/2026, 10:32:25 PM"
7206,DL4GD9546,ZENE4702,Chagori Melt,,Delhi,,"3/27/2026, 11:30:10 AM"
7207,DL4SEA0363,ZENE9704,Battery Not Charging,,Delhi,Harsh,"3/27/2026, 12:29:10 PM"
7208,DL4SEA0372,ZENF0086,Other,,Delhi,Harsh,"3/27/2026, 12:34:50 PM"
7209,XERO,ZENE6680,Battery not Discharging,,Delhi,,"3/27/2026, 1:21:12 PM"
7210,XERO,ZENE6646,Battery not Discharging,,Delhi,,"3/27/2026, 1:22:12 PM"
7211,DL4GD9369,ZENE4054,Service required,Replace,Delhi,anand,"3/27/2026, 1:43 PM"
7212,DL8EV2558,ZENE4014,Chagori Melt,,Delhi,Harsh,"3/27/2026, 2:39:52 PM"
7213,HR87U0834,ZENE2945,Battery Not Charging,,Delhi,,"3/27/2026, 6:18:01 PM"
7214,DL4SDY2762,ZENE3665,Battery Not Charging,Replace,Delhi,Harsh,"3/27/2026, 6:20:23 PM"
7215,HR87 U4883,ZENE4589,Battery Not Charging,,Delhi,,"3/27/2026, 6:21:02 PM"
7216,DL4SDY2704,ZENE4292,Battery Not Charging,Replace,Delhi,Harsh,"3/27/2026, 6:21:38 PM"
7217,DL4SDY3774,ZENE2964,Battery Not Charging,Replace,Delhi,Harsh,"3/27/2026, 6:23:00 PM"
7218,DL4SDY2725,ZENE3638,Battery Not Charging,Replace,Delhi,Harsh,"3/27/2026, 6:24:11 PM"
7219,KA03KW6983,ZENE4675,Battery Not Charging,Replace,Delhi,Harsh,"3/27/2026, 6:25:39 PM"
7220,KA03KW6797,ZENE0519,Battery Not Charging,Repair,Delhi,Harsh,"3/27/2026, 6:27:05 PM"
