Ticket ID,Vehicle ID/Chasis No,Battery ID,Issue,Resolved Type,Location,Technician Name,Created Time
7330,M2TLN1E11R2K09781,ZENF0835,Chagori Melt,,Mumbai,,"4/6/2026, 10:20:21 AM"
7332,M2TLN1E11R2K09701,ZENR1687,Chagori Melt,,Mumbai,,"4/6/2026, 10:39:15 AM"
7333,M2TLN1E11R2K09668,ZENE6323,Chagori Melt,,Mumbai,,"4/6/2026, 10:40:30 AM"
7335,M2TLN1E11R2K09795,ZENE4932,Battery Not Charging,,Mumbai,,"4/6/2026, 10:49:56 AM"
7336,MH02GK0349,ZENE0233,Battery Not Charging,,Mumbai,,"4/6/2026, 11:06:04 AM"
7337,,ZEAA0445,Battery not Discharging,Repair,Chennai,Abc,"4/6/2026, 11:10:49 AM"
7338,KA 04 ks 4194,ZENE4664,Service required,Replace,Delhi,deepak,"4/6/2026, 11:12 AM"
7341,MH02GK0457,ZENE7157,Other,,Mumbai,,"4/6/2026, 11:40:15 AM"
7342,MHO2GK3019,ZENE5476,Battery Not Charging,,Mumbai,,"4/6/2026, 11:50:10 AM"
7343,MHO2GK3019,ZENE9857,Oil Leakage,,Mumbai,,"4/6/2026, 11:51:10 AM"
7344,MH02GK0484,ZENE4965,Battery not Discharging,,Mumbai,,"4/6/2026, 11:52:05 AM"
7345,ZEN4324,M2TLN1E11S2F06755  BATTERY,Battery Not Charging,,Ludhiana,,"4/6/2026, 12:49:56 PM"
7346,HR87U4883,ZENE4188,Other,,Delhi,,"4/6/2026, 12:56:05 PM"
7347,HR87U1756,ZENE4126,Chagori Melt,,Delhi,,"4/6/2026, 12:58:13 PM"
7348,MH46CX9878,ZENE7469,Other,,Mumbai,,"4/6/2026, 1:55:02 PM"
7349,MH46CX9833,ZEAA0887,Other,,Mumbai,,"4/6/2026, 2:06:08 PM"
7350,MH46CC9844,ZENE2654,Other,,Mumbai,,"4/6/2026, 2:10:42 PM"
7351,MH04MW8120,ZENE9142,Other,,Mumbai,,"4/6/2026, 2:15:32 PM"
7352,M2TLN1E11S2F06848,ZENE2178,Other,,Mumbai,,"4/6/2026, 2:25:35 PM"
7353,DL4SEB2313,ZENE6721,Service required,,Delhi,,"4/6/2026, 3:02 PM"
