Ticket ID,Vehicle ID/Chasis No,Battery ID,Issue,Resolved Type,Location,Technician Name,Created Time
7371,KA04KS4196,ZENE4767,Vehicle not moving,,Delhi,,"4/7/2026, 10:48 AM"
7372,DL 4GD 9218,ZENE5416,Service required,,Delhi,,"4/7/2026, 10:49 AM"
7373,KA03KW6747,ZENE4653,Service required,,Delhi,,"4/7/2026, 10:51 AM"
7374,TESTB1,ZENEF123,Display not working,Replace,Bengaluru,Abc,"4/7/2026, 10:58:42 AM"
7375,KA50EN3664,ZENE2765,Chagori Melt,Replace,Delhi,Harsh,"4/7/2026, 1:45:53 PM"
7376,DL4SDX8630,ZENE4540,Battery Not Charging,,Delhi,Harsh,"4/7/2026, 2:21:36 PM"
7377,DL4SDX8533,ZNE9748,Other,Repair,Delhi,Harsh,"4/7/2026, 2:36:22 PM"
7378,MH02GK0354,ZENE3009,Battery Not Charging,,Mumbai,,"4/7/2026, 2:56:22 PM"
7379,MH02GK1488,ZENE0256,Battery Not Charging,,Mumbai,,"4/7/2026, 2:57:26 PM"
7380,KA51JN6596,ZENE1866,Other,,Bengaluru,,"4/7/2026, 3:33:39 PM"
7381,KA51JN6587,ZENE1346,Other,,Bengaluru,,"4/7/2026, 3:35:58 PM"
7382,KA51JN7666,ZENE1903,Other,,Bengaluru,,"4/7/2026, 3:37:25 PM"
7383,MH02GK0255,ZENE1689,Other,,Mumbai,,"4/7/2026, 3:43:48 PM"
7384,MH02GK0402,ZENE0540,Battery Not Charging,,Mumbai,,"4/7/2026, 3:45:20 PM"
7385,MH46CX9825,ZENF4820,Battery Not Charging,Repair,Mumbai,,"4/7/2026, 3:46:23 PM"
7386,MH46CX9877,ZENE610,Other,,Mumbai,,"4/7/2026, 3:47:17 PM"
7387,Ka04ks4305,ZENE2348,Service required,Replace,Delhi,,"4/7/2026, 4:32 PM"
7388,M2TLN1E11S2K10750,ZENE2475,Other,,Delhi,Harsh,"4/8/2026, 12:52:16 PM"
7389,MH04MW8157,ZENE9159,Battery Not Charging,,Mumbai,,"4/8/2026, 1:15:07 PM"
7390,MH04MW8824,ZENE3218,Battery Not Charging,,Mumbai,,"4/8/2026, 1:25:43 PM"
7391,MH46CZ0592,ZENE9031,Other,,Mumbai,,"4/8/2026, 4:05:56 PM"
7392,MH04MW8896,ZENE5283,Other,,Mumbai,,"4/8/2026, 4:09:04 PM"
7393,MH46CX9864,ZENE9404,Other,,Mumbai,,"4/8/2026, 4:18:17 PM"
7394,MH04MW8124,ZENE5742,Other,Repair,Mumbai,,"4/8/2026, 4:22:40 PM"
7395,MH04MX0643,ZENE2682,Other,,Mumbai,,"4/8/2026, 4:27:50 PM"
7396,MH04MX0577,ZENE6575,Other,Repair,Mumbai,,"4/8/2026, 5:00:11 PM"
7397,M2TLN1E11S2M11738,ZENE3850,Chagori Melt,,Delhi,Harsh,"4/8/2026, 5:06:14 PM"
7398,MH46CX9861,ZENE1664,Other,,Mumbai,,"4/8/2026, 5:12:27 PM"
7399,MH46CX9803,SAMSUNG 01,Other,Repair,Mumbai,,"4/8/2026, 5:15:53 PM"
7400,MH02GK0959,ZENE9609,Other,,Mumbai,,"4/8/2026, 5:19:28 PM"
7401,M2TLN1E11R2K09641,ZENF,Battery Not Charging,Repair,Mumbai,,"4/8/2026, 5:38:13 PM"
7402,M2TLN1E11R2K09668,ZENF_0547,Battery Not Charging,,Mumbai,,"4/8/2026, 5:38:57 PM"
7403,05164,ZENE4398,Other,,Coimbatore,,"4/8/2026, 5:53:53 PM"
7404,D05178,ZENE4968,Display not working,,Coimbatore,,"4/8/2026, 5:55:42 PM"
7405,MH02GK1514,ZENE6079,Other,,Mumbai,,"4/8/2026, 6:40:03 PM"
7406,MHO2GK3019,ZENE9941,Oil Leakage,,Mumbai,,"4/9/2026, 11:45:10 AM"
7407,DL4SDY 3622,ZEAA0757,Service required,Replace,Delhi,Md. NOOR,"4/9/2026, 4:29 PM"
7408,TESTB1,ZENEF123,Battery Not Charging,Replace,Bengaluru,ABC,"4/9/2026, 4:43:32 PM"
7409,DL 4SDY 2724,ZENE4911,Service required,Replace,Delhi,SAGAR,"4/9/2026, 5:02 PM"
7410,KA50EN3608,ZENF5459,Other,,Bengaluru,,"4/9/2026, 6:42:28 PM"
7411,.......,ZENE6476,Other,,Bengaluru,,"4/9/2026, 6:45:51 PM"
7412,KA04KS4249,ZENE9170,Other,,Bengaluru,,"4/9/2026, 6:52:01 PM"
7413,KA50EN3608,ZENE9959,Other,,Bengaluru,,"4/9/2026, 6:55:29 PM"
7414,KA50EN3600,ZENF1932,Other,,Bengaluru,,"4/9/2026, 6:56:45 PM"
7415,KA50EN3600,ZENF1319,Other,,Bengaluru,,"4/9/2026, 7:00:45 PM"
7416,",.........",ZENF1034,Other,,Bengaluru,,"4/9/2026, 7:02:19 PM"
7417,",........",ZENE9946,Other,,Bengaluru,,"4/9/2026, 7:04:24 PM"
7418,KA50EN3634,ZENE2173,Battery not Discharging,,Delhi,,"4/10/2026, 12:26:11 PM"
7419,KA03W6825,ZENE3961,Battery Not Charging,Replace,Delhi,Harsh,"4/10/2026, 12:57:14 PM"
7420,DL 4SD Y3553,ZENE5914,Service required,,Delhi,,"4/10/2026, 1:02 PM"
7421,MH02GK02323,ZENE7345,Other,,Mumbai,,"4/10/2026, 4:15:29 PM"
7422,M2TLN1E11R2K09781,ZENE4142,Other,,Mumbai,,"4/11/2026, 11:30:04 AM"
7423,M2TLN1E11R2K09701,ZENE7054,Other,,Mumbai,,"4/11/2026, 11:31:23 AM"
7424,M2TLN1E11R2K09795,ZENE0849,Other,,Mumbai,,"4/11/2026, 11:32:26 AM"
7425,M2TLN1E11R2K09641,ZENE0276,Other,,Mumbai,,"4/11/2026, 11:33:19 AM"
7426,HR51CT8316,ZENE4584,Chagori Melt,,Delhi,Harsh,"4/11/2026, 4:43:55 PM"
7427,HR87U0834,ZENE4640,Chagori Melt,,Delhi,Harsh,"4/11/2026, 4:46:33 PM"
7428,HR51CT5752,ZENE2897,Other,,Delhi,Harsh,"4/11/2026, 4:52:55 PM"
7429,HR51CT3514,ZENE4491,Other,,Delhi,Harsh,"4/11/2026, 4:57:42 PM"
7430,HR51CT9598,ZENE4887,Battery Not Charging,,Delhi,Harsh,"4/11/2026, 4:59:59 PM"
7431,HR87U4459,ZENE4776,Other,,Delhi,Harsh,"4/11/2026, 5:24:28 PM"
7432,HR51CT9424,ZENE4835,Battery Not Charging,,Delhi,,"4/11/2026, 6:18:34 PM"
7433,M2TLN1E11S2K10789,ZENE9781,Other,,Delhi,Harsh,"4/12/2026, 5:27:45 PM"
7434,M2TLN1E11R2K10080,ZENE9715,Other,,Delhi,Harsh,"4/12/2026, 5:30:01 PM"
7435,MH02GK1030,ZEAA0498,Other,,Mumbai,,"4/12/2026, 5:42:40 PM"
7436,M2TLN1E11R2K09781,ZENE2413,Chagori Melt,,Mumbai,,"4/13/2026, 11:57:31 AM"
7437,M2TLN1E11R2K09795,ZENF0730,Other,,Mumbai,,"4/13/2026, 12:34:57 PM"
7438,M2TLN1E11R2K09738,ZENE9154,Other,,Mumbai,,"4/13/2026, 12:36:41 PM"
7439,M2TLN1E11R2K09738,ZEAA0472,Chagori Melt,,Mumbai,,"4/13/2026, 12:37:29 PM"
7440,M2TLN1E11R2K09738,ZEAA0922,Chagori Melt,,Mumbai,,"4/13/2026, 12:38:31 PM"
7441,M2TLN1E11R2K09795,ZENE6692,Chagori Melt,,Mumbai,,"4/13/2026, 12:39:21 PM"
7442,M2TLN1E11R2K09641,ZENF0130,Chagori Melt,,Mumbai,,"4/13/2026, 12:40:12 PM"
7443,M2TLN1E11R2K09668,ZENF0736,Chagori Melt,,Mumbai,,"4/13/2026, 12:40:58 PM"
7444,M2TLN1E11R2K09738,ZENE4017,Chagori Melt,,Mumbai,,"4/13/2026, 12:43:14 PM"
7445,MH46CT4214,ZENE4906,Battery Not Charging,,Mumbai,,"4/13/2026, 1:12:08 PM"
7446,MH02GK0390,ZENE0139,Other,,Mumbai,,"4/13/2026, 2:07:46 PM"
7447,MH02GK1024,ZENE5362,Other,,Mumbai,,"4/13/2026, 2:11:44 PM"
7448,MH02GK1025,ZENE0307,Oil Leakage,,Mumbai,,"4/13/2026, 2:13:25 PM"
7449,DL8EV4281,ZENE4392,Chagori Melt,,Delhi,Harsh,"4/13/2026, 2:55:25 PM"
7450,KA51JN7702,ZENF1833,Other,,Bengaluru,,"4/13/2026, 3:51:31 PM"
7451,MH04MX0385,ZENE9652,Other,,Mumbai,,"4/13/2026, 5:44:38 PM"
7452,KA50EN3762,ZENE4527,Chagori Melt,,Delhi,,"4/13/2026, 6:12:54 PM"
